Drug1,Drug2,Compatibility
Acetaminophen/Paracetamol,Acyclovir,Not compatible
Acetaminophen/Paracetamol,Amikacin sulfate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Aminophylline,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Ampicillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Ampicillin sodium-sulbactam sodium*,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Calcium chloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Calcium gluconate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Cefazolin sodium,Compatible
Acetaminophen/Paracetamol,Ceftazidime,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Ceftriaxone sodium,Compatible
Acetaminophen/Paracetamol,Ciprofloxacin,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Clindamycin phosphate,Compatible
Acetaminophen/Paracetamol,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Cloxacillin sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Diazepam,Not compatible
Acetaminophen/Paracetamol,Erythromycin lactobionate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Fluconazole,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Furosemide (Frusemide),No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Gentamicin sulfate,Compatible
Acetaminophen/Paracetamol,Hydrocortisone sodium succinate,Compatible
Acetaminophen/Paracetamol,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Ketamine HCl,Compatible
Acetaminophen/Paracetamol,Lorazepam,Compatible
Acetaminophen/Paracetamol,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Magnesium sulfate,Compatible
Acetaminophen/Paracetamol,Meropenem,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Methylprednisolone sodium succinate,Compatible
Acetaminophen/Paracetamol,Metronidazole,Not compatible
Acetaminophen/Paracetamol,Morphine sulfate,Compatible
Acetaminophen/Paracetamol,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Ondansetron hydrochloride,Compatible
Acetaminophen/Paracetamol,Phenobarbital sodium,Not compatible
Acetaminophen/Paracetamol,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Phenytoin sodium,Not compatible
Acetaminophen/Paracetamol,Piperacillin sodium-Tazobactam sodium,Compatible
Acetaminophen/Paracetamol,Potassium chloride,Compatible
Acetaminophen/Paracetamol,Potassium phosphates,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Sodium acetate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Sodium bicarbonate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Sulfamethoxazole-Trimethoprim,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acetaminophen/Paracetamol,Vancomycin hydrochloride,Compatible
Acyclovir,Acetaminophen/Paracetamol,Not compatible
Acyclovir,Amikacin sulfate,Compatible
Acyclovir,Aminophylline,Compatible
Acyclovir,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acyclovir,Ampicillin sodium,Compatible
Acyclovir,Ampicillin sodium-sulbactam sodium*,Not compatible
Acyclovir,Calcium chloride,Compatible
Acyclovir,Calcium gluconate,Compatible
Acyclovir,Cefazolin sodium,Compatible
Acyclovir,Ceftazidime,Compatible
Acyclovir,Ceftriaxone sodium,Compatible
Acyclovir,Ciprofloxacin,Not compatible
Acyclovir,Clindamycin phosphate,Compatible
Acyclovir,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acyclovir,Cloxacillin sodium,Compatible
Acyclovir,Diazepam,Not compatible
Acyclovir,Erythromycin lactobionate,Compatible
Acyclovir,Fluconazole,Compatible
Acyclovir,Furosemide (Frusemide),Compatible
Acyclovir,Gentamicin sulfate,Not compatible
Acyclovir,Hydrocortisone sodium succinate,Compatible
Acyclovir,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acyclovir,Ketamine HCl,Not compatible
Acyclovir,Lorazepam,Compatible
Acyclovir,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acyclovir,Magnesium sulfate,Compatible
Acyclovir,Meropenem,Not compatible
Acyclovir,Methylprednisolone sodium succinate,Compatible
Acyclovir,Metronidazole,Compatible
Acyclovir,Morphine sulfate,Not compatible
Acyclovir,Omeprazole sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acyclovir,Ondansetron hydrochloride,Not compatible
Acyclovir,Phenobarbital sodium,Compatible
Acyclovir,Penicillin G sodium,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Acyclovir,Phenytoin sodium,Not compatible
Acyclovir,Piperacillin sodium-Tazobactam sodium,Not compatible
Acyclovir,Potassium chloride,Compatible
Acyclovir,Potassium phosphates,Not compatible
Acyclovir,Sodium acetate,Compatible
Acyclovir,Sodium bicarbonate,Compatible
Acyclovir,Sulfamethoxazole-Trimethoprim,Compatible
Acyclovir,Vancomycin hydrochloride,Compatible
Amikacin sulfate,Acetaminophen/Paracetamol,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amikacin sulfate,Acyclovir,Compatible
Amikacin sulfate,Aminophylline,Compatible
Amikacin sulfate,Amoxicillin sodium-clavulanate,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amikacin sulfate,Ampicillin sodium,Compatible if NaCl 0.9% used
Amikacin sulfate,Ampicillin sodium-sulbactam sodium*,Compatible if NaCl 0.9% used
Amikacin sulfate,Calcium chloride,Compatible
Amikacin sulfate,Calcium gluconate,Compatible
Amikacin sulfate,Cefazolin sodium,Compatible
Amikacin sulfate,Ceftazidime,Compatible
Amikacin sulfate,Ceftriaxone sodium,Compatible
Amikacin sulfate,Ciprofloxacin,Compatible
Amikacin sulfate,Clindamycin phosphate,Compatible
Amikacin sulfate,Clonidine hydrocloride,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amikacin sulfate,Cloxacillin sodium,Not compatible
Amikacin sulfate,Diazepam,Not compatible
Amikacin sulfate,Erythromycin lactobionate,Compatible
Amikacin sulfate,Fluconazole,Compatible
Amikacin sulfate,Furosemide (Frusemide),Compatible
Amikacin sulfate,Gentamicin sulfate,Compatible
Amikacin sulfate,Hydrocortisone sodium succinate,Compatible
Amikacin sulfate,Ibuprofen,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amikacin sulfate,Ketamine HCl,Compatible
Amikacin sulfate,Lorazepam,Compatible
Amikacin sulfate,Levetiracetam,No informationCa = Compatible if diluent is NaCl 0.9%Cs = Based on solubility rules in Admixture and Y-site Compatibility of Additives in Intravenous Drips
Amikacin sulfate,Magnesium sulfate,Compatible
Amikacin sulfate,Meropenem,Compatible
Amikacin sulfate,Methylprednisolone sodium succinate,Compatible
Amikacin sulfate,Metronidazole,Compatible
Amikacin sulfate,Morphine sulfate,Compatible
